excel_id,row,title,original_title,release_year,runtime_minutes,genres,countries,director,cast,imdb,tomatometer,popcornmeter,justwatch_url,poster_url
857,1108,Snowpiercer,설국열차 / Seolgugyeolcha,2013,126,Action | Sci-Fi,CZE | FRA | KOR | USA,Bong Joon-Ho,Chris Evans | Song Kang-ho | Tilda Swinton,7.1,94.000,72.000,https://www.justwatch.com/de/Film/Snowpiercer,
858,1109,Angeklagt,The Accused,1988,111,Drama | Krimi,CAN | USA,Jonathan Kaplan,Jodie Foster | Kelly McGillis | Bernie Coulson,7.1,93.000,79.000,https://www.justwatch.com/de/Film/Angeklagt,
859,1110,Wenn die Gondeln Trauer tragen,Don’t Look Now,1973,105,Horror | Mystery,ITA | UK,Nicolas Roeg,Donald Sutherland | Julie Christie | Hilary Mason,7.1,93.000,76.000,https://www.justwatch.com/de/Film/Wenn-die-Gondeln-Trauer-tragen,
860,1111,Dogtooth,Κυνόδοντας / Kynodontas,2009,97,Drama | Thriller,GRE,Yorgos Lanthimos,Christos Stergioglou | Angeliki Papoulia | Mary Tsoni,7.1,93.000,76.000,https://www.justwatch.com/de/Film/Hundszahn,
1041,1112,Macbeth,The Tragedy of Macbeth,2021,105,Drama | Thriller,USA,Joel Coen,Denzel Washington | Frances McDormand | Alex Hassell,7.1,93.000,74.000,https://www.justwatch.com/de/Film/The-Tragedy-of-Macbeth-2021,
861,1113,The Host,괴물 / Gwoemul,2006,119,Horror | Sci-Fi,JAP | KOR,Bong Joon-Ho,Song Kang-ho | Byun Hee-bong | Park Hae-il,7.1,93.000,72.000,https://www.justwatch.com/de/Film/Gwoemul,
1137,1114,Glass Onion: A Knives Out Mystery,,2022,139,Komödie | Krimi,USA,Rian Johnson,Daniel Craig | Edward Norton | Janelle Monáe,7.1,91.000,92.000,https://www.justwatch.com/de/Film/Knives-Out-2,
862,1115,Der Unsichtbare,The Invisible Man,2020,124,Horror | Thriller,AUS | USA,Leigh Whannell,Elisabeth Moss | Oliver Jackson-Cohen | Aldis Hodge,7.1,91.000,88.000,https://www.justwatch.com/de/Film/Der-Unsichtbare,
863,1116,11:14,,2003,85,Komödie | Thriller,CAN | USA,Greg Marcks,Henry Thomas | Colin Hanks | Ben Foster,7.1,91.000,75.000,https://www.justwatch.com/de/Film/11-14-Elevenfourteen,
864,1117,Von großen und kleinen Haien,O Som ao Redor,2012,131,Drama | Thriller,BRA,Kleber Mendonça Filho,Gustavo Jahn | Maeve Jinkings | Irandhir Santos,7.1,91.000,75.000,https://www.justwatch.com/de/Film/O-Som-ao-Redor,
1122,1118,Bone Tomahawk,,2015,132,Horror | Western,USA,S. Craig Zahler,Kurt Russell | Patrick Wilson | Matthew Fox,7.1,91.000,74.000,https://www.justwatch.com/de/Film/Bone-Tomahawk,
1073,1119,Timecrimes – Mord ist nur eine Frage der Zeit,Timecrimes,2007,88,Sci-Fi | Thriller,ESP,Nacho Vigalondo,Karra Elejalde | Candela Fernández | Bárbara Goenaga,7.1,90.000,79.000,https://www.justwatch.com/de/Film/Timecrimes-Mord-ist-nur-eine-Frage-der-Zeit,
865,1120,Licorice Pizza,,2021,133,Komödie | Romanze,USA,Paul Thomas Anderson,Alana Haim | Cooper Hoffman | Sean Penn,7.1,90.000,65.000,https://www.justwatch.com/de/Film/Licorice-Pizza,
1224,1121,Save the Green Planet!,지구를 지켜라! / Jigureul Jikyeora!,2003,117,Komödie | Sci-Fi,KOR,Jang Joon-hwan,Shin Ha-kyun | Baek Yoon-sik | Hwang Jung-min,7.1,88.000,87.000,https://www.justwatch.com/de/Film/Save-the-Green-Planet,
866,1122,Der Admiral – Roaring Currents,명량 / Myeongnyang,2014,126,Action | Krieg,KOR,Kim Han-min,Choi Min-sik | Ryu Seung-ryong | Cho Jin-woong,7.1,88.000,79.000,https://www.justwatch.com/de/Film/Der-Admiral-Roaring-Currents,
867,1123,The Lobster,,2015,118,Drama | Komödie,FRA | GRE | IRE | NED | UK,Yorgos Lanthimos,Colin Farrell | Rachel Weisz | Olivia Colman,7.1,88.000,65.000,https://www.justwatch.com/de/Film/The-Lobster,
868,1124,Broken Flowers,,2005,106,Drama | Komödie,FRA | USA,Jim Jarmusch,Bill Murray | Jeffrey Wright | Sharon Stone,7.1,87.000,70.000,https://www.justwatch.com/de/Film/Broken-Flowers-Blumen-fuer-die-Ex,
1220,1125,A Tale of Two Sisters,"장화, 홍련 / Janghwa, Hongryeon",2003,114,Horror | Thriller,KOR,Kim Jee-woon,Im Soo-jung | Moon Geun-young | Yum Jung-ah,7.1,86.000,83.000,https://www.justwatch.com/de/Film/A-Tale-of-Two-Sisters,
1033,1126,Im Vorhof der Hölle,State of Grace,1990,134,Drama | Krimi,USA,Phil Joanou,Sean Penn | Gary Oldman | Ed Harris,7.1,86.000,82.000,https://www.justwatch.com/de/Film/Im-Vorhof-der-Hoelle,
869,1127,Zhao - Der Unbesiegbare,天下第一拳 / Tiānxià dì yī quán,1972,105,Action | Drama,HKG,Chang-hwa Jeong,Lieh Lo | Ping Wang | Hsiung Chao,7.1,86.000,80.000,https://www.justwatch.com/de/Film/Zhao-der-Unbesiegbare,
870,1128,Die Klapperschlange,Escape from New York,1981,99,Action | Sci-Fi,UK | USA,John Carpenter,Kurt Russell | Lee Van Cleef | Donald Pleasence,7.1,86.000,77.000,https://www.justwatch.com/de/Film/Die-Klapperschlange,
871,1129,The Square,,2017,151,Drama | Komödie,DEN | FRA | GER | SWE,Ruben Östlund,Claes Bang | Elisabeth Moss | Dominic West,7.1,85.000,70.000,https://www.justwatch.com/de/Film/The-Square-2017,
872,1130,The Master,,2012,138,Drama | Thriller,USA,Paul Thomas Anderson,Joaquin Phoenix | Philip Seymour Hoffman | Amy Adams,7.1,85.000,62.000,https://www.justwatch.com/de/Film/The-Master-2012,
873,1131,Last Exit Reno,Sydney / Hard Eight,1996,98,Drama | Thriller,USA,Paul Thomas Anderson,Philip Barker Hall | John C. Reilly | Gwyneth Paltrow,7.1,83.000,83.000,https://www.justwatch.com/de/Film/Last-Exit-Reno,
874,1132,Violent Cop,"その男、凶暴につき / Otoko, Kyōbō ni Tsuki",1989,103,Action | Krimi,JAP,Takeshi Kitano,Takeshi Kitano | Maiko Kawakami | Makoto Ashikawa,7.1,83.000,81.000,,
1160,1133,Narc,,2002,105,Drama | Krimi,CAN | USA,Joe Carnahan,Jason Patric | Ray Liotta | Chi McBride,7.1,83.000,79.000,https://www.justwatch.com/de/Film/Narc,
875,1134,Midsommar,,2019,148,Drama | Mystery,SWE | USA,Ari Aster,Florence Pugh | Jack Reynor | Vilhelm Blomgren,7.1,83.000,63.000,https://www.justwatch.com/de/Film/Midsommar,
1146,1135,Queen & Slim,,2019,132,Drama | Thriller,CAN | USA,Melina Matsoukas,Daniel Kaluuya | Jodie Turner-Smith | Bokeem Woodbine,7.1,82.000,92.000,https://www.justwatch.com/de/Film/Queen-und-Slim,
876,1136,Batmans Rückkehr,Batman Returns,1992,126,Abenteuer | Action,USA,Tim Burton,Michael Keaton | Danny DeVito | Michelle Pfeiffer,7.1,82.000,73.000,https://www.justwatch.com/de/Film/Batmans-Rueckkehr,
877,1137,7 Psychos,Seven Psychopaths,2012,110,Komödie | Thriller,UK,Martin McDonagh,Colin Farrell | Sam Rockwell | Woody Harrelson,7.1,82.000,71.000,https://www.justwatch.com/de/Film/7-Psychos,
878,1138,Tropic Thunder,,2008,107,Action | Komödie,USA,Ben Stiller,Ben Stiller | Robert Downey Jr. | Jack Black,7.1,82.000,71.000,https://www.justwatch.com/de/Film/Tropic-Thunder,
879,1139,Durst,박쥐 / Bak-Jwi,2009,133,Drama | Horror,KOR,Park Chan-wook,Song Kang-ho | Kim Ok-bin | Shin Ha-kyun,7.1,81.000,74.000,https://www.justwatch.com/de/Film/Durst,
880,1140,Alien: Romulus,,2024,119,Horror | Sci-Fi,UK | USA,Fede Álvarez,Cailee Spaeny | David Johnson | Archie Renaux,7.1,80.000,85.000,https://www.justwatch.com/de/Film/alien-romulus,
1279,1141,Queimada – Insel des Schreckens,Queimada,1969,121,Abenteuer | Drama,FRA | ITA,Gillo Pontecorvo,Marlon Brando | Evaristo Márquez | Renato Salvatori,7.1,80.000,80.000,https://www.justwatch.com/de/Film/Queimada-Insel-des-Schreckens,
881,1142,Panik im Needle Park,The Panic in Needle Park,1971,110,Drama | Tragödie,USA,Jerry Schatzberg,Al Pacino | Kitty Winn | Alan Vint,7.1,80.000,75.000,https://www.justwatch.com/de/Film/Panik-im-Needle-Park,
882,1143,Melancholia,,2011,130,Drama | Sci-Fi,DEN | FRA | GER | SWE,Lars von Trier,Kirsten Dunst | Charlotte Gainsbourg | Kiefer Sutherland,7.1,80.000,67.000,https://www.justwatch.com/de/Film/Melancholia,
1156,1144,Brick,,2005,110,Drama | Thriller,USA,Rian Johnson,Joseph Gordon-Levitt | Nora Zehetner | Lukas Haas,7.1,79.000,86.000,https://www.justwatch.com/de/Film/Brick,
883,1145,Iron Man 3,,2013,130,Action | Sci-Fi,USA,Shane Black,Robert Downey Jr. | Gwyneth Paltrow | Don Cheadle,7.1,79.000,78.000,https://www.justwatch.com/de/Film/Iron-Man-3,
884,1146,The French Dispatch,,2021,108,Drama | Komödie,USA,Wes Anderson,Benicio del Toro | Adrien Brody | Tilda Swinton,7.1,75.000,76.000,https://www.justwatch.com/de/Film/The-French-Dispatch,
885,1147,Elephant,,2003,81,Drama | Krimi,USA,Gus Van Sant,Alex Frost | Eric Deulen | John Robinson,7.1,74.000,78.000,https://www.justwatch.com/de/Film/Elephant,
886,1148,Der Gott des Gemetzels,Carnage,2011,80,Drama | Komödie,ESP | FRA | GER | POL,Roman Polanski,Jodie Foster | Kate Winslet | Christoph Waltz,7.1,71.000,66.000,https://www.justwatch.com/de/Film/Der-Gott-des-Gemetzels,
887,1149,Desperado,,1995,104,Action | Western,MEX | USA,Robert Rodriguez,Antonio Banderas | Salma Hayek | Joaquim de Almeida,7.1,70.000,79.000,https://www.justwatch.com/de/Film/Desperado,
888,1150,Equus – Blinde Pferde,Equus,1977,137,Drama | Mystery,UK | USA,Sidney Lumet,Richard Burton | Peter Firth | Colin Blakely,7.1,70.000,77.000,https://www.justwatch.com/de/Film/equus-blinde-pferde,
889,1151,Cash Truck,Wrath of Man,2021,118,Action | Thriller,USA,Guy Ritchie,Jason Statham | Holt McCallany | Josh Hartnett,7.1,68.000,90.000,https://www.justwatch.com/de/Film/Wrath-of-Man,
1020,1152,Che – Revolución,Che – Part One: The Argentine,2008,134,Biografie | Krieg,ESP | FRA | USA,Steven Soderbergh,Benicio del Toro | Demián Bichir | Rodrigo Santoro,7.1,67.000,75.000,https://www.justwatch.com/de/Film/Che-2008,
